age,gender,race,income,credit_score,debt_ratio,years_employed,loan_approved
60,Female,Hispanic,99458,600,0.29,16,0
50,Male,Black,27175,757,0.36,16,0
36,Male,Black,69771,718,0.16,1,0
64,Female,Black,101925,717,0.1,5,0
29,Female,Asian,81358,449,0.42,13,0
42,Male,White,32327,711,0.36,5,1
60,Female,White,62057,708,0.4,1,0
40,Female,White,21150,645,0.5,0,1
44,Male,Asian,19425,464,0.42,9,0
32,Female,White,31032,509,0.19,20,0
32,Male,Asian,17198,497,0.28,4,0
45,Male,Black,75500,582,0.55,1,0
57,Male,Hispanic,68394,530,0.48,21,1
61,Male,White,35079,746,0.38,15,0
45,Male,White,51220,445,0.23,24,0
24,Male,Black,56874,516,0.25,1,1
43,Male,Hispanic,28859,464,0.47,9,1
23,Female,Asian,65460,611,0.53,1,0
45,Male,Hispanic,46419,487,0.44,15,1
51,Male,Black,23705,636,0.5,15,1
59,Female,Black,57880,824,0.48,18,1
23,Female,Hispanic,38236,786,0.17,28,0
42,Female,Asian,102955,618,0.31,6,0
54,Male,Asian,100514,461,0.18,21,0
33,Female,White,30358,753,0.22,11,1
43,Male,Asian,109914,815,0.53,23,0
46,Male,Hispanic,91918,824,0.34,14,1
48,Male,Black,29596,841,0.37,7,0
63,Male,White,48572,483,0.19,5,0
49,Female,White,93757,452,0.26,27,1
37,Female,Black,16279,590,0.22,26,0
36,Male,Asian,78197,659,0.2,9,1
24,Male,Black,77516,643,0.42,2,1
58,Male,Asian,22083,710,0.23,18,0
28,Female,Black,32771,819,0.42,16,1
42,Male,Hispanic,44975,673,0.13,6,0
30,Male,Asian,60648,777,0.17,20,0
60,Female,Hispanic,63285,665,0.24,19,1
39,Female,White,34063,446,0.4,25,0
25,Male,Black,82642,603,0.44,3,1
46,Female,White,105093,756,0.32,13,0
35,Female,White,101143,651,0.32,19,0
30,Male,White,52599,554,0.46,21,0
47,Female,White,66920,823,0.11,14,0
23,Male,Black,43529,781,0.27,23,0
41,Female,White,50954,509,0.51,7,1
49,Male,Black,42856,832,0.4,20,1
28,Male,Black,17573,501,0.27,14,1
29,Male,Hispanic,93344,642,0.55,21,1
56,Female,Asian,50367,646,0.49,19,1
35,Male,Asian,75774,509,0.23,27,1
38,Female,Black,38752,714,0.42,13,0
57,Male,Hispanic,70029,711,0.4,26,0
61,Male,Black,32685,757,0.3,28,1
25,Female,Black,66693,775,0.28,8,1
23,Male,Black,70961,803,0.27,7,0
27,Male,Hispanic,91908,532,0.41,25,0
63,Female,Asian,89532,603,0.32,27,0
25,Male,Hispanic,96994,469,0.52,25,1
50,Male,White,71133,448,0.43,16,1
39,Male,Hispanic,76268,738,0.13,1,1
47,Male,Hispanic,107201,654,0.42,24,0
55,Female,Hispanic,53243,726,0.24,23,0
31,Female,Hispanic,72384,539,0.4,29,1
57,Male,Asian,46653,829,0.44,2,1
35,Female,White,41657,704,0.22,7,0
52,Male,Asian,54952,651,0.33,11,0
36,Female,Asian,37180,616,0.2,0,0
29,Male,Hispanic,93411,525,0.13,9,0
35,Male,Black,16622,478,0.29,19,1
44,Male,Black,63756,838,0.28,2,0
61,Male,Asian,55809,513,0.6,5,0
42,Male,Asian,31725,814,0.32,6,0
37,Male,Hispanic,76396,483,0.27,19,1
39,Female,Asian,66226,597,0.39,22,1
45,Male,Hispanic,96182,517,0.14,24,0
47,Female,Black,97565,747,0.58,26,0
46,Male,Black,44402,523,0.42,17,0
62,Female,White,19263,529,0.48,10,1
50,Female,Black,61828,585,0.19,18,1
36,Female,Asian,62924,598,0.3,4,1
22,Male,Black,89182,639,0.31,18,0
46,Male,Hispanic,108065,679,0.51,10,1
28,Female,Black,74052,790,0.1,23,0
30,Male,White,26664,439,0.25,11,0
45,Female,Black,50737,662,0.59,9,0
22,Male,Hispanic,104563,726,0.34,7,1
29,Female,Hispanic,44373,670,0.29,23,0
45,Female,Asian,51397,514,0.16,27,1
32,Male,Black,101145,553,0.59,27,1
38,Female,Hispanic,53709,591,0.11,8,0
29,Male,White,76120,843,0.47,3,0
56,Female,Asian,34250,540,0.48,4,1
56,Female,White,36172,631,0.22,20,0
54,Male,Black,26555,603,0.44,7,1
26,Male,Black,102410,796,0.15,22,0
63,Male,Black,93617,527,0.23,8,1
60,Female,Asian,68276,611,0.49,14,1
62,Male,Hispanic,72492,559,0.53,14,1
49,Female,Asian,68002,580,0.4,15,1
28,Female,White,104599,543,0.35,13,0
30,Male,Asian,87355,812,0.18,7,0
29,Male,White,106248,742,0.13,17,1
33,Female,Asian,39762,797,0.16,9,1
55,Female,Hispanic,26046,754,0.21,27,0
54,Male,White,43769,560,0.27,19,0
44,Male,Black,68302,827,0.29,5,0
45,Male,Black,38150,446,0.27,11,0
58,Male,Asian,83247,699,0.22,1,0
56,Male,Black,19853,510,0.35,6,0
61,Female,White,109613,796,0.51,15,1
43,Female,Black,104399,660,0.24,2,0
48,Female,Hispanic,36792,478,0.57,12,0
56,Female,Hispanic,74129,807,0.54,2,1
22,Male,Asian,89478,641,0.18,26,0
56,Male,White,82298,701,0.49,17,0
58,Male,Hispanic,46987,765,0.39,10,0
35,Female,Hispanic,30850,615,0.38,7,0
24,Female,White,27112,785,0.3,5,0
22,Male,Black,39058,755,0.35,0,1
26,Male,Black,60420,521,0.3,27,0
47,Female,Asian,53890,755,0.37,0,1
35,Female,Black,81017,548,0.41,22,1
60,Male,White,62304,688,0.44,7,0
48,Male,Hispanic,47921,820,0.37,4,1
30,Female,Black,16524,444,0.46,27,0
36,Male,Asian,30048,521,0.17,15,1
36,Male,Black,50111,645,0.21,10,1
47,Male,White,52904,825,0.51,4,0
63,Female,Asian,69912,827,0.26,3,0
34,Female,Black,49008,751,0.11,29,0
53,Female,Asian,15060,459,0.18,5,0
60,Female,White,89666,847,0.21,13,0
53,Female,Hispanic,98559,820,0.58,21,1
25,Female,White,70337,440,0.39,18,1
51,Female,White,28350,564,0.57,8,1
58,Male,White,39354,734,0.39,11,1
44,Male,White,60186,625,0.34,10,1
60,Male,Hispanic,43145,799,0.26,13,1
36,Male,Hispanic,49020,451,0.4,22,1
64,Male,Asian,101123,449,0.17,15,0
50,Male,Black,90186,524,0.55,0,0
57,Male,Hispanic,100469,449,0.51,12,1
34,Female,Hispanic,35581,834,0.26,22,1
53,Female,Black,103929,462,0.58,20,0
28,Male,Hispanic,38051,738,0.51,20,0
43,Male,White,66474,680,0.43,29,0
49,Female,White,106748,559,0.16,12,0
23,Male,Black,84626,584,0.34,1,1
63,Male,Asian,21960,492,0.35,3,0
27,Female,Asian,50772,675,0.22,27,1
49,Male,Black,36520,793,0.14,5,1
49,Female,Black,64481,610,0.49,25,1
41,Male,White,51408,829,0.16,26,0
51,Female,Asian,109006,658,0.4,22,0
32,Female,Hispanic,72134,556,0.57,26,1
49,Female,White,35491,746,0.54,4,1
46,Male,Black,16341,620,0.24,24,1
60,Female,Asian,59623,725,0.53,2,0
54,Male,Hispanic,105327,744,0.1,0,1
22,Male,Hispanic,15338,737,0.11,3,0
48,Male,White,86431,519,0.4,24,1
34,Male,Asian,27254,839,0.28,19,1
62,Female,Asian,66860,648,0.29,1,1
24,Female,Black,26344,587,0.38,25,0
60,Male,Asian,16750,474,0.2,29,0
27,Male,Asian,69756,789,0.21,29,1
29,Female,White,82957,749,0.34,4,0
48,Male,Asian,73053,798,0.48,2,1
30,Female,Hispanic,85855,496,0.41,28,0
58,Male,White,30896,568,0.25,27,0
54,Male,White,70761,849,0.32,28,0
63,Female,Black,77552,639,0.19,8,1
45,Male,Asian,92454,680,0.14,19,0
36,Female,Black,105600,472,0.49,5,0
53,Male,Hispanic,42935,530,0.23,17,1
53,Male,White,52641,644,0.19,5,1
45,Male,White,44711,790,0.45,18,1
62,Female,White,85342,828,0.41,27,1
33,Male,Hispanic,27182,769,0.42,11,0
60,Male,Hispanic,102833,742,0.21,24,0
23,Male,Black,71276,787,0.22,10,0
24,Male,Black,34541,650,0.21,1,0
58,Female,Black,109457,596,0.19,14,0
38,Female,Asian,97310,461,0.43,11,1
23,Male,White,59813,841,0.52,11,0
23,Female,White,52198,730,0.46,8,0
49,Male,Black,23820,441,0.5,20,0
44,Male,White,39070,657,0.3,23,1
58,Male,Black,84768,801,0.43,1,1
53,Female,Asian,26122,819,0.28,21,0
54,Female,Asian,95559,457,0.36,2,1
22,Female,Hispanic,88543,589,0.34,11,1
40,Female,Asian,98441,487,0.19,27,1
23,Female,Black,56786,614,0.29,29,1
47,Female,Asian,109934,533,0.58,25,1
53,Female,Hispanic,21737,542,0.22,15,1
27,Female,White,51062,687,0.17,20,1
53,Female,Black,69237,554,0.31,27,0
25,Male,White,66571,791,0.5,23,0
32,Female,Hispanic,40510,665,0.39,25,1
38,Female,Hispanic,34426,503,0.44,29,0
59,Female,Hispanic,52265,772,0.19,0,0
45,Female,White,32850,699,0.41,20,1
26,Female,White,81150,732,0.26,2,0
55,Female,White,102312,680,0.52,19,1
27,Female,White,104613,808,0.41,1,1
43,Female,Hispanic,89910,623,0.2,8,1
32,Female,Hispanic,67375,683,0.13,18,0
37,Female,Black,50435,562,0.12,14,0
54,Female,Black,72132,705,0.29,17,0
30,Male,White,93945,568,0.23,25,0
27,Male,Asian,97050,674,0.42,10,1
37,Female,Asian,17983,455,0.35,24,1
50,Female,Hispanic,35662,477,0.23,22,0
24,Male,Hispanic,38510,458,0.17,15,1
41,Female,Hispanic,93187,836,0.16,21,1
57,Male,Black,55998,662,0.53,16,0
40,Male,Black,71846,792,0.22,4,1
47,Male,Hispanic,109071,719,0.43,11,0
24,Male,Hispanic,21640,445,0.51,10,1
40,Male,Hispanic,59547,537,0.41,29,0
41,Female,Asian,69620,677,0.53,14,1
53,Male,Black,30317,524,0.3,26,1
28,Female,Asian,22564,735,0.58,2,0
62,Female,Asian,42345,451,0.17,0,0
54,Male,Hispanic,109223,771,0.15,19,0
61,Male,Hispanic,94273,439,0.43,28,0
60,Female,White,89859,812,0.57,15,1
39,Male,White,95765,730,0.5,1,1
61,Male,Asian,89038,762,0.14,1,0
22,Female,Black,67393,478,0.24,2,1
32,Female,Hispanic,81081,755,0.57,7,0
49,Male,Hispanic,44430,753,0.23,23,0
46,Female,Asian,90532,818,0.49,27,1
44,Male,White,42788,548,0.51,14,1
52,Male,Black,63543,451,0.35,6,0
51,Male,White,28919,668,0.29,5,0
63,Female,White,84346,521,0.33,8,0
56,Female,White,54974,567,0.21,19,1
28,Female,White,31371,668,0.54,27,1
37,Female,Hispanic,60084,763,0.33,0,1
47,Female,Hispanic,44629,582,0.54,7,1
23,Male,White,66184,816,0.15,22,0
22,Male,Black,76916,782,0.59,22,0
33,Male,Asian,88972,465,0.32,2,0
26,Male,Black,77187,503,0.12,3,0
58,Female,Black,27984,600,0.12,25,0
53,Male,Black,48039,666,0.47,24,0
30,Female,White,100431,698,0.43,14,1
62,Male,Hispanic,98691,601,0.5,5,1
56,Female,Black,73606,738,0.15,14,0
40,Female,White,25616,844,0.12,20,0
37,Male,Black,65072,740,0.35,2,1
24,Male,Black,39574,724,0.29,24,1
41,Male,White,18430,832,0.33,20,1
45,Male,Hispanic,27676,447,0.6,20,1
54,Female,Hispanic,25816,632,0.59,13,0
45,Male,Asian,47733,555,0.57,19,0
32,Male,White,100680,707,0.49,13,0
29,Female,Asian,17050,517,0.28,3,0
57,Male,Asian,48933,530,0.31,11,0
59,Male,Asian,39951,703,0.37,16,1
61,Male,Hispanic,47413,769,0.52,6,0
41,Male,White,49801,787,0.13,8,1
56,Male,Asian,70619,798,0.31,2,0
46,Female,White,47913,694,0.14,27,0
56,Male,White,55600,570,0.36,12,0
46,Male,Hispanic,72775,713,0.55,14,0
50,Male,Asian,105816,701,0.49,17,0
39,Male,Asian,105093,608,0.21,18,1
39,Male,White,50400,438,0.59,0,1
23,Female,Black,19494,750,0.43,5,1
56,Male,Hispanic,95688,501,0.11,26,0
37,Female,Hispanic,104431,811,0.23,26,0
62,Female,Hispanic,89691,721,0.23,22,1
57,Male,Hispanic,58001,558,0.13,26,0
54,Male,Asian,82364,544,0.58,26,0
25,Male,Asian,60028,612,0.34,1,1
54,Male,Black,52573,641,0.55,23,0
35,Female,Hispanic,15806,602,0.26,13,1
42,Male,Hispanic,71638,742,0.16,5,0
41,Male,White,44757,557,0.34,13,1
29,Male,Asian,49636,481,0.16,3,0
28,Male,Hispanic,95097,749,0.34,20,0
24,Male,Black,63280,593,0.56,7,1
38,Male,Black,39262,804,0.36,29,0
54,Female,Asian,95435,644,0.41,2,0
33,Female,Black,77211,827,0.18,18,1
43,Male,Black,69842,545,0.12,29,0
43,Male,Asian,71979,688,0.16,13,1
51,Male,Hispanic,96470,841,0.4,26,0
59,Female,Hispanic,53197,807,0.15,19,0
59,Male,Black,56844,771,0.29,16,0
29,Female,Black,79754,567,0.38,24,0
48,Male,Hispanic,49157,730,0.29,7,1
48,Male,Asian,92129,457,0.18,23,0
55,Male,Black,55042,719,0.24,13,1
42,Male,White,76665,722,0.56,25,0
51,Female,Asian,97856,438,0.44,5,0
54,Female,Black,42376,556,0.35,22,0
49,Male,Black,70554,472,0.11,21,0
54,Male,White,29199,635,0.6,15,1
26,Female,White,96412,682,0.44,24,1
40,Female,Hispanic,65948,496,0.26,18,1
25,Female,Asian,88781,762,0.54,13,1
56,Female,Asian,87750,598,0.23,18,0
38,Male,Hispanic,81262,616,0.37,2,1
49,Female,Asian,61600,643,0.42,9,1
51,Male,Asian,91898,449,0.21,18,0
50,Female,Asian,77483,713,0.59,8,0
27,Female,Asian,33297,618,0.47,27,0
56,Female,Asian,45448,679,0.38,19,0
62,Female,White,41172,653,0.19,12,1
58,Female,Asian,57874,688,0.13,6,1
45,Male,White,22657,736,0.26,13,0
50,Male,Asian,99386,563,0.48,8,0
52,Female,Hispanic,40425,654,0.23,26,0
56,Female,Black,41685,743,0.37,27,1
54,Male,White,39578,722,0.46,22,1
42,Female,Asian,43831,622,0.15,24,0
53,Female,Hispanic,22906,476,0.44,27,0
44,Male,Black,76413,660,0.15,18,1
54,Female,White,69028,621,0.58,14,0
24,Female,Black,22287,615,0.34,19,0
39,Male,Hispanic,48660,844,0.18,13,1
46,Male,White,90758,731,0.27,23,0
63,Male,Black,75504,777,0.31,5,1
52,Female,Asian,74720,588,0.48,20,0
